"term","scaled_hits","hits1000","collected_at","time_span"
"Austria",101.9617,324.2405,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Belgium",123.5705,392.957,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Cyprus",74.1176,235.6956,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Denmark",76.9148,244.5908,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Estonia",19.8276,63.0522,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Finland",53.7647,170.9729,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Germany",314.4632,1000,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Greece",151.9191,483.1061,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Hungary",35.1315,111.719,"2018-12-11 11:22","2017-12-17 2018-12-02"
"Italy",299.5809,952.674,"2018-12-11 11:22","2017-12-17 2018-12-02"
